;;mm;C;%;mm/10cm;mm/10cm;mm/10cm;mm/10cm;mm/10cm
10/19/19;17:30:00;0;28.99;82.3;-7.79;33.86;29.81;20.54;21.74
10/19/19;18:00:00;0;29.94;82.5;-7.84;33.84;29.81;20.55;21.74
10/19/19;18:30:00;0;29.11;87.7;-7.8;33.86;29.81;20.54;21.74
10/19/19;19:00:00;0;29.99;88.3;-7.88;33.84;29.82;20.55;21.75
10/19/19;19:30:00;0;29.51;88.9;-7.91;33.84;29.81;20.55;21.75
10/19/19;20:00:00;0;28.47;90.5;-7.93;33.82;29.82;20.55;21.75
10/19/19;20:30:00;0.6;28;92.8;-7.95;33.82;29.82;20.55;21.75
10/19/19;21:00:00;0;27.19;96.2;-7.96;33.81;29.82;20.55;21.75
10/19/19;21:30:00;0;27.31;96.6;-7.98;33.81;29.82;20.56;21.75
10/19/19;22:00:00;0.2;27.41;96.2;-7.98;33.79;29.82;20.56;21.75
10/19/19;22:30:00;0;26.28;98.1;-7.96;33.77;29.84;20.56;21.75
10/19/19;23:00:00;0;26.23;98.8;-7.96;33.79;29.82;20.58;21.76
10/19/19;23:30:00;0;25.94;98.5;-7.98;33.77;29.84;20.56;21.76
10/20/19;00:00:00;0;25.48;98.6;-8;33.75;29.84;20.56;21.75
10/20/19;00:30:00;0;25.43;98.7;-8;33.75;29.84;20.58;21.76
10/20/19;01:00:00;0;25.06;99.2;-8.02;33.75;29.84;20.56;21.76
10/20/19;01:30:00;0;24.68;99.7;-8.04;33.75;29.84;20.58;21.76
10/20/19;02:00:00;0;24.65;99.7;-8.05;33.74;29.84;20.58;21.76
10/20/19;02:30:00;0;24.53;99.9;-8.02;33.72;29.84;20.59;21.76
10/20/19;03:00:00;0;24.29;100;-8.05;33.72;29.84;20.59;21.76
10/20/19;03:30:00;0;24.03;100;-8.05;33.7;29.84;20.58;21.76
10/20/19;04:00:00;0;24.1;100;-8.11;33.7;29.85;20.58;21.78
10/20/19;04:30:00;0;24.24;100;-8.11;33.68;29.84;20.59;21.78
10/20/19;05:00:00;0;24.17;100;-8.14;33.68;29.85;20.58;21.76
10/20/19;05:30:00;0;23.88;100;-8.13;33.68;29.84;20.59;21.78
10/20/19;06:00:00;0;23.88;100;-8.11;33.67;29.84;20.59;21.78
10/20/19;06:30:00;0;23.74;100;-8.07;33.67;29.84;20.59;21.78
10/20/19;07:00:00;0;23.64;100;-8;33.67;29.85;20.6;21.76
10/20/19;07:30:00;0;23.45;100;-7.93;33.65;29.84;20.59;21.76
10/20/19;08:00:00;0;23.62;100;-7.88;33.67;29.84;20.59;21.71
10/20/19;08:30:00;0;23.54;100;-7.8;33.65;29.82;20.58;21.68
10/20/19;09:00:00;0;23.26;100;-7.73;33.63;29.81;20.55;21.66
10/20/19;09:30:00;0;23.3;100;-7.64;33.63;29.79;20.53;21.63
10/20/19;10:00:00;0;22.85;100;-7.59;33.6;29.77;20.5;21.62
10/20/19;10:30:00;0;22.78;100;-7.5;33.6;29.74;20.47;21.59
10/20/19;11:00:00;0;22.54;100;-7.46;33.58;29.74;20.45;21.57
10/20/19;11:30:00;0;22.7;100;-7.43;33.56;29.69;20.42;21.55
10/20/19;12:00:00;0;22.97;100;-7.41;33.56;29.68;20.38;21.53
10/20/19;12:30:00;0;23.38;100;-7.45;33.53;29.66;20.36;21.5
10/20/19;13:00:00;0;24.05;100;-7.46;33.54;29.63;20.34;21.49
10/20/19;13:30:00;0;24.99;99.2;-7.57;33.53;29.63;20.33;21.5
10/20/19;14:00:00;0;25.23;99.3;-7.52;33.53;29.61;20.31;21.49
10/20/19;14:30:00;0;25.94;98.6;-7.77;33.49;29.6;20.31;21.49
10/20/19;15:00:00;0;26.67;95.4;-7.8;33.49;29.6;20.32;21.5
10/20/19;15:30:00;0;27.19;92.9;-7.82;33.49;29.61;20.32;21.51
10/20/19;16:00:00;0;27.97;89.9;-7.82;33.49;29.6;20.33;21.53
10/20/19;16:30:00;0;28.72;89.4;-7.88;33.49;29.61;20.33;21.53
10/20/19;17:00:00;0;29.19;85.5;-7.61;34.46;29.65;20.34;21.5
10/20/19;17:30:00;0;29.39;84.1;-7.84;36.61;30.31;20.43;21.51
10/20/19;18:00:00;0;29.79;85;-7.8;36.58;31.24;20.83;21.54
10/20/19;18:30:00;0;29.21;83.4;-7.86;36.53;31.39;21.75;21.58
10/20/19;19:00:00;0;29.09;86.3;-7.89;36.39;31.4;22.85;21.74
10/20/19;19:30:00;0;28.27;91.9;-7.93;36.32;31.4;23.02;22.14
10/20/19;20:00:00;0;29.09;84.3;-7.77;36.16;31.39;23.02;23.7
10/20/19;20:30:00;0;26.26;95;-7.79;36.09;31.37;22.87;23.86
10/20/19;21:00:00;0.2;26.11;96.6;-7.82;36.04;31.34;22.8;23.8
10/20/19;21:30:00;0;26.26;96.5;-7.86;35.96;31.32;22.71;23.74
10/20/19;22:00:00;0.2;25.67;98.1;-7.88;35.91;31.29;22.64;23.67
10/20/19;22:30:00;1;24.1;98.8;-7.89;35.88;31.26;22.58;23.59
10/20/19;23:00:00;16;23.38;100;-7.91;35.84;31.24;22.53;23.53
10/20/19;23:30:00;3.2;23.3;100;-7.89;35.81;31.23;22.48;23.46
10/21/19;00:00:00;2;23.06;100;-7.93;35.77;31.21;22.43;23.41
10/21/19;00:30:00;1.2;22.92;100;-7.89;35.79;31.19;22.4;23.38
10/21/19;01:00:00;0.6;22.85;100;-7.88;35.79;31.18;22.38;23.32
10/21/19;01:30:00;0.2;22.92;100;-7.91;35.75;31.16;22.34;23.28
10/21/19;02:00:00;0;22.92;100;-7.93;35.75;31.16;22.33;23.22
10/21/19;02:30:00;0;22.94;100;-7.95;35.72;31.15;22.31;23.2
10/21/19;03:00:00;0;22.97;100;-7.98;35.7;31.15;22.29;23.17
10/21/19;03:30:00;0;22.92;100;-8.02;35.68;31.13;22.28;23.13
10/21/19;04:00:00;0;22.97;100;-8.02;35.63;31.11;22.26;23.12
10/21/19;04:30:00;0;22.97;100;-8.02;35.63;31.1;22.26;23.09
10/21/19;05:00:00;0;22.97;100;-8.05;35.6;31.08;22.23;23.07
10/21/19;05:30:00;0;22.99;100;-8.07;35.58;31.08;22.22;23.05
10/21/19;06:00:00;0.2;22.99;100;-8.04;35.56;31.06;22.2;23.03
10/21/19;06:30:00;0.4;22.97;100;-8.04;35.54;31.05;22.18;23
10/21/19;07:00:00;0;22.75;100;-8.02;35.53;31.03;22.16;22.99
10/21/19;07:30:00;0;22.73;100;-7.96;35.51;31.03;22.15;22.96
10/21/19;08:00:00;0;22.58;100;-7.95;35.51;31.03;22.12;22.95
10/21/19;08:30:00;0;22.56;100;-7.95;35.49;31;22.12;22.93
10/21/19;09:00:00;0;22.51;100;-7.93;35.49;31;22.1;22.91
10/21/19;09:30:00;0;22.56;100;-7.89;35.49;30.98;22.07;22.87
10/21/19;10:00:00;0;22.58;100;-7.88;35.47;30.97;22.04;22.84
10/21/19;10:30:00;0;22.49;100;-7.86;35.46;30.94;22.01;22.8
10/21/19;11:00:00;0;22.32;100;-7.82;35.46;30.94;21.99;22.78
10/21/19;11:30:00;0;22.32;100;-7.77;35.44;30.92;21.96;22.76
10/21/19;12:00:00;0;22.49;100;-7.79;35.42;30.9;21.94;22.72
10/21/19;12:30:00;0;22.82;100;-7.82;35.42;30.89;21.93;22.71
10/21/19;13:00:00;0;23.16;100;-7.77;35.42;30.87;21.9;22.68
10/21/19;13:30:00;0;23.59;100;-7.79;35.42;30.85;21.88;22.67
10/21/19;14:00:00;0;23.81;100;-7.82;35.4;30.84;21.87;22.66
10/21/19;14:30:00;0;24.17;100;-7.8;35.4;30.82;21.85;22.63
10/21/19;15:00:00;0;24.56;100;-7.84;35.4;30.81;21.84;22.63
10/21/19;15:30:00;0;24.85;100;-7.89;35.39;30.82;21.83;22.63
10/21/19;16:00:00;0;25.26;100;-7.91;35.37;30.81;21.83;22.63
10/21/19;16:30:00;0;25.23;100;-7.93;35.37;30.79;21.83;22.62
10/21/19;17:00:00;0;25.91;99.4;-7.93;35.37;30.79;21.82;22.61
10/21/19;17:30:00;0;26.38;99.3;-7.95;35.37;30.79;21.82;22.61
10/21/19;18:00:00;0;26.06;99;-7.96;35.37;30.79;21.8;22.59
10/21/19;18:30:00;0;25.57;99.4;-8;35.35;30.79;21.8;22.59
10/21/19;19:00:00;0;26.4;98.3;-8.02;35.35;30.77;21.8;22.59
10/21/19;19:30:00;0;25.96;97.9;-8.04;35.33;30.77;21.79;22.58
10/21/19;20:00:00;0;25.87;98.1;-8.04;35.32;30.77;21.79;22.57
10/21/19;20:30:00;0;25.74;98.4;-8.02;35.3;30.76;21.78;22.55
10/21/19;21:00:00;0;25.11;98.2;-8.04;35.3;30.77;21.77;22.55
10/21/19;21:30:00;0.2;25.14;99.1;-8.05;35.3;30.77;21.77;22.55
10/21/19;22:00:00;0;24.82;99.6;-8.07;35.28;30.76;21.77;22.55
10/21/19;22:30:00;0;24.75;99.7;-8.07;35.26;30.76;21.77;22.54
10/21/19;23:00:00;0;24.58;100;-8.09;35.26;30.76;21.75;22.53
10/21/19;23:30:00;0.2;24.36;100;-8.11;35.25;30.74;21.74;22.54
10/22/19;00:00:00;0;24.1;100;-8.13;35.23;30.74;21.75;22.53
10/22/19;00:30:00;0;23.88;100;-8.13;35.23;30.74;21.74;22.53
10/22/19;01:00:00;0;23.74;100;-8.11;35.21;30.74;21.74;22.53
10/22/19;01:30:00;0;23.57;100;-8.14;35.21;30.73;21.73;22.53
10/22/19;02:00:00;0;23.52;100;-8.16;35.19;30.73;21.73;22.51
10/22/19;02:30:00;0;23.62;100;-8.14;35.18;30.73;21.73;22.51
10/22/19;03:00:00;0;23.47;100;-8.16;35.18;30.73;21.73;22.5
10/22/19;03:30:00;0;23.26;100;-8.16;35.16;30.71;21.72;22.51
10/22/19;04:00:00;0;23.14;100;-8.2;35.16;30.71;21.72;22.5
10/22/19;04:30:00;0;22.97;100;-8.23;35.12;30.69;21.71;22.49
10/22/19;05:00:00;0;22.9;100;-8.25;35.11;30.69;21.71;22.49
10/22/19;05:30:00;0;22.82;100;-8.25;35.11;30.69;21.69;22.47
10/22/19;06:00:00;0;22.61;100;-8.25;35.09;30.69;21.69;22.47
10/22/19;06:30:00;0;22.73;100;-8.21;35.09;30.68;21.68;22.47
10/22/19;07:00:00;0;22.7;100;-8.13;35.09;30.68;21.68;22.46
10/22/19;07:30:00;0;22.54;100;-8.02;35.09;30.68;21.67;22.46
10/22/19;08:00:00;0;22.42;100;-7.95;35.07;30.68;21.66;22.43
10/22/19;08:30:00;0;22.39;100;-7.89;35.05;30.65;21.64;22.41
10/22/19;09:00:00;0;22.27;100;-7.82;35.05;30.65;21.61;22.37
10/22/19;09:30:00;0;22.25;100;-7.71;35.04;30.61;21.57;22.33
10/22/19;10:00:00;0;22.06;100;-7.7;35;30.58;21.53;22.3
10/22/19;10:30:00;0;21.75;100;-7.64;35;30.56;21.5;22.28
10/22/19;11:00:00;0;21.58;100;-7.61;34.98;30.53;21.47;22.24
10/22/19;11:30:00;0;21.53;100;-7.55;34.96;30.52;21.42;22.21
10/22/19;12:00:00;0;21.49;100;-7.5;34.96;30.48;21.39;22.17
10/22/19;12:30:00;0;22.03;100;-7.5;34.95;30.47;21.35;22.16
10/22/19;13:00:00;0;22.66;100;-7.48;34.93;30.44;21.33;22.13
10/22/19;13:30:00;0;23.98;100;-7.63;34.91;30.42;21.31;22.12
10/22/19;14:00:00;0;24.41;100;-7.7;34.91;30.4;21.3;22.12
10/22/19;14:30:00;0;25.14;99.6;-7.73;34.91;30.4;21.29;22.12
10/22/19;15:00:00;0;25.87;95.8;-7.77;34.91;30.4;21.29;22.13
10/22/19;15:30:00;0;26.7;90;-7.77;34.89;30.39;21.28;22.12
10/22/19;16:00:00;0;27.09;93.5;-7.77;34.88;30.39;21.28;22.12
10/22/19;16:30:00;0;27.58;89.3;-7.79;34.88;30.39;21.26;22.12
10/22/19;17:00:00;0;27.97;90.8;-7.79;34.86;30.39;21.26;22.13
10/22/19;17:30:00;0;28.52;87.2;-7.82;34.86;30.39;21.26;22.12
10/22/19;18:00:00;0;28.77;89.1;-7.84;34.84;30.39;21.26;22.12
10/22/19;18:30:00;0;29.66;87.3;-7.86;34.82;30.39;21.26;22.13
10/22/19;19:00:00;0;29.19;91.4;-7.91;34.82;30.39;21.26;22.13
10/22/19;19:30:00;0;27.73;92.1;-7.96;34.81;30.39;21.26;22.12
10/22/19;20:00:00;0;27.31;94.1;-7.98;34.81;30.39;21.26;22.13
10/22/19;20:30:00;0;26.67;94.9;-8.02;34.79;30.39;21.25;22.13
10/22/19;21:00:00;0;26.35;96.4;-8.04;34.79;30.39;21.26;22.13
10/22/19;21:30:00;0;26.6;95.6;-8.04;34.77;30.39;21.26;22.13
10/22/19;22:00:00;0;26.23;95.7;-8.05;34.75;30.39;21.26;22.13
10/22/19;22:30:00;0;25.96;96.3;-8.07;34.74;30.39;21.25;22.13
10/22/19;23:00:00;0;25.84;97.3;-8.07;34.74;30.39;21.25;22.13
10/22/19;23:30:00;0;25.55;97.5;-8.07;34.72;30.39;21.25;22.13
10/23/19;00:00:00;0;25.33;97.9;-8.07;34.7;30.39;21.25;22.13
10/23/19;00:30:00;0;24.94;98.1;-8.09;34.7;30.39;21.26;22.13
10/23/19;01:00:00;0;24.53;98.3;-8.09;34.68;30.39;21.25;22.13
10/23/19;01:30:00;0;24.12;98.3;-8.11;34.67;30.37;21.26;22.13
10/23/19;02:00:00;0;23.69;98.6;-8.07;34.67;30.39;21.25;22.13
10/23/19;02:30:00;0;23.83;99.4;-8.09;34.67;30.39;21.25;22.13
10/23/19;03:00:00;0;23.59;99.6;-8.07;34.65;30.39;21.25;22.13
10/23/19;03:30:00;0;23.42;99.4;-8.07;34.63;30.39;21.25;22.12
10/23/19;04:00:00;0;23.33;99.8;-8.07;34.63;30.37;21.25;22.13
10/23/19;04:30:00;0;23.21;100;-8.09;34.63;30.39;21.25;22.13
10/23/19;05:00:00;0;23.09;100;-8.11;34.61;30.37;21.24;22.12
10/23/19;05:30:00;0;23.38;100;-8.13;34.61;30.37;21.25;22.13
10/23/19;06:00:00;0;23.14;100;-8.11;34.6;30.37;21.25;22.12
10/23/19;06:30:00;0;23.04;100;-8.07;34.6;30.37;21.24;22.12
10/23/19;07:00:00;0;22.99;100;-8.04;34.58;30.37;21.23;22.13
10/23/19;07:30:00;0;22.87;100;-7.96;34.58;30.35;21.23;22.12
10/23/19;08:00:00;0;22.99;100;-7.88;34.58;30.35;21.23;22.11
10/23/19;08:30:00;0;23.09;100;-7.82;34.56;30.32;21.2;22.07
10/23/19;09:00:00;0;23.04;100;-7.71;34.54;30.32;21.17;22.04
10/23/19;09:30:00;0;23.14;100;-7.7;34.53;30.29;21.15;22.01
10/23/19;10:00:00;0;23.09;100;-7.59;34.51;30.27;21.12;21.97
10/23/19;10:30:00;0;22.87;100;-7.55;34.49;30.24;21.08;21.96
10/23/19;11:00:00;0;22.92;100;-7.63;34.49;30.23;21.07;21.95
10/23/19;11:30:00;0;22.75;100;-7.68;34.47;30.21;21.04;21.93
10/23/19;12:00:00;0;22.85;100;-7.66;34.47;30.19;21.03;21.92
10/23/19;12:30:00;0;23.14;100;-7.54;34.47;30.18;20.99;21.89
10/23/19;13:00:00;0;23.59;100;-7.59;34.44;30.15;20.97;21.87
10/23/19;13:30:00;0;24.48;99.9;-7.54;34.4;30.13;20.94;21.86
10/23/19;14:00:00;0;25.23;98.4;-7.66;34.39;30.11;20.92;21.84
10/23/19;14:30:00;0;25.65;95.4;-7.68;34.37;30.1;20.92;21.84
10/23/19;15:00:00;0;27.19;94;-7.71;34.37;30.1;20.91;21.86
10/23/19;15:30:00;0;26.79;93.2;-7.8;34.37;30.1;20.91;21.87
10/23/19;16:00:00;0;28.34;87.8;-7.77;34.37;30.1;20.91;21.87
10/23/19;16:30:00;0;28.05;92.1;-7.82;34.35;30.1;20.92;21.87
10/23/19;17:00:00;0;28.2;89.6;-7.86;34.35;30.08;20.91;21.88
10/23/19;17:30:00;0;27.55;93.3;-7.91;34.35;30.1;20.91;21.88
10/23/19;18:00:00;0;28.47;89.8;-7.93;34.35;30.1;20.92;21.88
10/23/19;18:30:00;0;27.83;91;-7.96;34.33;30.1;20.91;21.89
10/23/19;19:00:00;0;28.84;87.1;-7.96;34.33;30.1;20.91;21.89
10/23/19;19:30:00;0;28.92;87.4;-7.98;34.33;30.1;20.92;21.89
10/23/19;20:00:00;0;27.68;91.5;-7.98;34.33;30.1;20.91;21.89
10/23/19;20:30:00;0;27.55;91.5;-7.98;34.32;30.11;20.92;21.91
10/23/19;21:00:00;0.2;26.55;94.5;-8;34.3;30.1;20.92;21.89
10/23/19;21:30:00;0.2;26.79;95.7;-8.02;34.3;30.1;20.92;21.89
10/23/19;22:00:00;0.2;26.7;96.3;-8.02;34.3;30.11;20.91;21.91
10/23/19;22:30:00;0;25.89;97.6;-8.05;34.3;30.11;20.92;21.89
10/23/19;23:00:00;0;25.45;97.8;-8.05;34.28;30.11;20.92;21.91
10/23/19;23:30:00;0;25.06;98.1;-8.04;34.28;30.11;20.93;21.91
10/24/19;00:00:00;0;24.53;98.2;-8.04;34.26;30.13;20.92;21.91
10/24/19;00:30:00;0;24.39;98.9;-8.05;34.25;30.11;20.92;21.89
10/24/19;01:00:00;0;24.29;99.2;-8.05;34.26;30.1;20.92;21.91
10/24/19;01:30:00;0;24.15;99.2;-8.09;34.26;30.11;20.92;21.91
10/24/19;02:00:00;0;24;99.4;-8.13;34.25;30.11;20.93;21.91
10/24/19;02:30:00;0;23.93;99.7;-8.16;34.25;30.11;20.93;21.91
10/24/19;03:00:00;0;23.74;99.8;-8.16;34.25;30.11;20.92;21.91
10/24/19;03:30:00;0;23.42;100;-8.18;34.25;30.11;20.92;21.91
10/24/19;04:00:00;0;23.45;100;-8.18;34.25;30.11;20.92;21.91
10/24/19;04:30:00;0;23.35;100;-8.21;34.19;30.11;20.93;21.91
10/24/19;05:00:00;0.2;23.3;100;-8.23;34.19;30.1;20.92;21.92
10/24/19;05:30:00;0;23.3;100;-8.2;34.18;30.1;20.93;21.91
10/24/19;06:00:00;0;23.21;100;-8.16;34.18;30.1;20.93;21.91
10/24/19;06:30:00;0;23.33;100;-8.11;34.19;30.1;20.92;21.91
10/24/19;07:00:00;0.2;23.14;100;-8;34.19;30.1;20.92;21.91
10/24/19;07:30:00;0;22.82;100;-7.96;34.19;30.11;20.92;21.91
10/24/19;08:00:00;0;22.63;100;-7.88;34.21;30.1;20.92;21.89
10/24/19;08:30:00;0;22.58;100;-7.8;34.21;30.1;20.91;21.88
10/24/19;09:00:00;0;22.32;100;-7.77;34.19;30.06;20.9;21.86
10/24/19;09:30:00;0;22.27;100;-7.71;34.19;30.06;20.86;21.83
10/24/19;10:00:00;0;22.01;100;-7.61;34.18;30.03;20.85;21.8
10/24/19;10:30:00;0;22.01;100;-7.55;34.16;30.02;20.81;21.78
10/24/19;11:00:00;0;21.91;100;-7.66;34.16;29.98;20.8;21.78
10/24/19;11:30:00;0;22.11;100;-7.64;34.16;29.98;20.79;21.76
10/24/19;12:00:00;0;22.2;100;-7.5;34.14;29.95;20.75;21.74
10/24/19;12:30:00;0;22.97;100;-7.55;34.12;29.94;20.72;21.72
10/24/19;13:00:00;0;23.71;100;-7.46;34.11;29.9;20.71;21.71
10/24/19;13:30:00;0;24.39;100;-7.46;34.09;29.9;20.67;21.68
10/24/19;14:00:00;0;25.09;100;-7.39;34.09;29.87;20.67;21.67
10/24/19;14:30:00;0;25.57;96.9;-7.39;34.05;29.85;20.64;21.67
10/24/19;15:00:00;0;25.84;97.7;-7.39;34.04;29.84;20.63;21.66
10/24/19;15:30:00;0;26.79;90.9;-7.23;34.05;29.84;20.63;21.67
10/24/19;16:00:00;0;27.87;89.3;-7.34;36.84;30.65;20.72;21.68
10/24/19;16:30:00;0;27.8;93.1;-7.41;36.79;31.6;23.71;23.18
10/24/19;17:00:00;0;27.14;93.8;-7.68;36.53;31.65;23.98;26.22
10/24/19;17:30:00;0;28.15;93.1;-7.73;36.3;31.6;23.62;25.58
10/24/19;18:00:00;0;28.82;83.8;-7.8;36.14;31.55;23.41;25.12
10/24/19;18:30:00;0;29.14;90.8;-7.82;36.04;31.52;23.24;24.61
10/24/19;19:00:00;0;28.79;91;-7.8;35.93;31.48;23.1;24.16
10/24/19;19:30:00;0;30.17;87.8;-7.84;35.84;31.44;22.94;23.78
10/24/19;20:00:00;0;30.62;86.1;-7.82;35.77;31.4;22.87;23.62
10/24/19;20:30:00;0;31.23;81.6;-7.84;35.72;31.39;22.8;23.54
10/24/19;21:00:00;0;31;83.2;-7.84;35.67;31.34;22.74;23.5
10/24/19;21:30:00;11;27.58;95.9;-7.86;35.63;31.31;22.67;23.43
10/24/19;22:00:00;20;26.06;98.8;-7.84;35.6;31.29;22.64;23.38
10/24/19;22:30:00;8.8;23.21;100;-7.86;35.58;31.26;22.6;23.32
10/24/19;23:00:00;4.2;23.06;100;-7.88;35.56;31.24;22.56;23.29
10/24/19;23:30:00;1;22.99;100;-7.89;35.53;31.23;22.53;23.25
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
